image;head;right_hand;right_elbow;right_shoulder;neck;left_shoulder;left_elbow;left_hand;right_foot;right_knee;right_hip;left_hip;left_knee;left_foot
00000_8bit.png;340,381;350,357;398,308;379,330;331,337;289,320;278,299;339,335;375,118;406,157;363,197;331,194;313,136;335,77
00001_8bit.png;342,382;353,357;400,307;381,330;333,337;291,323;284,304;346,338;375,118;406,157;363,197;332,194;314,136;336,77
00002_8bit.png;343,383;354,357;400,307;382,330;333,338;292,324;286,305;348,338;374,118;406,157;364,197;332,195;314,136;336,77
00003_8bit.png;344,383;354,356;401,307;382,330;334,338;293,323;289,304;350,339;374,118;406,157;364,197;332,195;315,136;338,78
00004_8bit.png;344,383;353,356;401,307;382,330;334,338;293,323;291,303;351,339;374,118;406,157;364,197;332,195;316,136;340,78
00005_8bit.png;345,383;353,355;400,306;381,329;333,337;292,322;292,302;351,339;374,118;407,158;364,197;333,195;316,136;341,78
00006_8bit.png;345,383;353,354;400,305;381,329;333,337;292,321;293,300;350,339;372,118;408,158;364,197;333,194;316,135;342,79
00007_8bit.png;345,382;352,353;399,304;381,328;333,336;292,321;293,299;349,339;369,118;409,158;365,197;333,194;316,135;343,79
00008_8bit.png;344,381;351,353;398,304;381,328;332,336;291,320;292,299;348,338;365,117;410,158;365,197;333,194;316,135;343,80
00009_8bit.png;344,381;351,353;397,303;381,328;332,336;291,320;291,299;348,338;363,116;410,158;364,196;333,194;316,134;344,80
00010_8bit.png;344,380;351,353;397,303;381,327;332,335;291,319;291,299;348,337;363,116;410,157;364,196;333,193;315,134;345,81
00011_8bit.png;344,379;351,353;397,303;381,327;332,335;291,319;290,300;348,337;363,116;410,157;364,196;333,193;315,134;346,81
00012_8bit.png;344,379;352,353;397,302;381,326;332,335;291,319;290,300;347,337;364,116;410,157;364,196;333,193;315,134;347,82
00013_8bit.png;345,379;352,353;397,303;381,327;332,334;291,319;290,300;347,338;364,117;410,157;365,196;333,193;316,134;350,85
00014_8bit.png;345,379;352,354;397,303;380,327;332,334;291,319;291,300;347,339;364,117;411,158;365,196;333,193;316,134;354,89
00015_8bit.png;346,379;352,353;398,303;380,327;331,334;291,319;292,301;348,339;363,119;411,158;365,196;333,193;317,134;357,93
00016_8bit.png;346,379;353,353;398,303;380,327;331,334;291,319;293,300;348,339;363,122;413,160;366,196;334,193;317,134;361,98
00017_8bit.png;347,380;354,353;399,303;380,327;331,334;291,319;293,300;349,339;364,126;414,162;366,197;335,193;318,135;361,102
00018_8bit.png;348,380;355,353;400,303;380,327;331,334;291,319;295,301;349,341;364,129;415,163;367,197;335,193;318,136;362,105
00019_8bit.png;348,381;356,353;401,303;380,327;332,334;292,319;297,301;349,342;364,132;416,165;367,197;335,193;319,137;362,110
00020_8bit.png;349,381;356,353;402,304;380,327;332,334;292,319;298,302;350,343;363,134;416,166;367,197;336,193;320,138;362,113
00021_8bit.png;349,380;357,353;402,304;380,327;332,334;293,320;298,303;350,344;362,135;416,166;367,198;335,194;320,139;361,116
00022_8bit.png;349,380;358,353;403,303;381,327;333,334;293,320;298,304;350,344;362,136;416,166;367,197;335,194;320,139;360,117
00023_8bit.png;349,379;358,353;403,303;381,327;333,334;294,321;298,305;351,344;361,138;415,166;367,197;335,194;319,140;359,118
00024_8bit.png;349,378;359,353;404,303;381,326;333,333;294,321;298,305;351,344;360,139;415,166;366,197;334,194;318,140;358,118
00025_8bit.png;348,377;359,352;405,302;382,326;334,333;294,320;298,305;351,343;359,139;414,165;366,197;334,193;318,140;357,119
00026_8bit.png;346,375;359,351;405,303;381,325;334,332;294,320;297,304;351,342;359,140;414,165;366,196;334,193;317,141;355,121
00027_8bit.png;344,374;359,351;405,303;381,326;334,332;294,319;298,303;351,342;358,141;413,165;366,196;334,193;318,142;352,123
00028_8bit.png;341,372;358,352;404,304;381,326;334,332;294,318;297,301;350,341;358,142;414,167;366,196;334,193;319,144;351,124
00029_8bit.png;338,371;356,352;404,305;381,327;333,332;293,318;297,300;350,341;358,143;414,169;366,196;334,193;321,146;351,126
00030_8bit.png;335,370;355,352;403,305;380,327;333,333;293,318;295,299;348,340;358,145;415,172;366,197;334,193;322,148;351,129
00031_8bit.png;333,369;353,351;401,305;380,327;333,333;292,317;293,297;346,340;359,147;416,176;367,197;335,194;324,151;354,130
00032_8bit.png;332,368;350,351;399,305;380,327;332,332;291,316;291,296;343,339;360,148;417,181;367,197;335,194;326,155;356,132
00033_8bit.png;330,368;347,351;396,305;379,327;331,332;290,316;288,295;340,338;362,149;418,186;368,198;335,194;326,159;358,133
00034_8bit.png;329,368;344,350;393,303;378,327;330,332;288,315;286,294;338,338;364,152;419,192;368,198;335,194;327,162;360,135
00035_8bit.png;328,368;343,351;392,303;377,327;328,332;287,315;283,294;336,337;364,154;420,196;368,199;336,194;326,165;362,137
00036_8bit.png;327,368;342,351;391,303;376,327;327,332;286,315;283,294;335,337;365,156;421,199;368,200;335,195;324,167;362,139
00037_8bit.png;327,368;342,351;391,304;376,327;327,332;286,315;283,294;335,337;364,157;421,202;368,200;335,195;319,169;361,141
