image;head;right_hand;right_elbow;right_shoulder;neck;left_shoulder;left_elbow;left_hand;right_foot;right_knee;right_hip;left_hip;left_knee;left_foot
00000_8bit.png;403,387;526,261;474,300;442,329;403,341;374,325;406,294;476,282;458,120;487,187;425,193;397,193;367,139;348,84
00001_8bit.png;403,386;532,271;475,303;442,330;402,341;374,325;407,294;478,286;463,119;487,188;425,193;397,192;367,139;348,83
00002_8bit.png;404,386;541,294;476,309;442,332;403,341;374,325;409,296;480,288;471,116;487,188;425,193;396,193;366,140;347,83
00003_8bit.png;405,386;545,324;478,310;443,332;403,341;374,325;408,297;479,286;477,113;486,186;424,193;395,193;365,140;347,84
00004_8bit.png;406,387;508,391;482,330;440,338;403,341;374,326;406,298;476,278;485,102;483,177;423,193;393,194;363,143;346,86
00005_8bit.png;406,389;494,410;478,346;436,342;402,341;374,325;408,297;476,276;490,93;480,169;423,193;394,195;364,143;347,86
00006_8bit.png;405,390;481,417;475,352;434,344;401,342;373,325;408,298;476,276;484,83;475,160;424,194;395,195;367,142;350,86
00007_8bit.png;403,391;483,421;472,355;432,345;400,342;372,325;409,299;477,280;470,74;467,150;424,194;397,194;372,140;353,85
00008_8bit.png;402,391;492,420;471,356;430,346;399,342;372,325;409,300;478,285;449,68;453,141;425,193;398,194;377,139;359,85
00009_8bit.png;401,391;500,414;471,354;430,345;398,342;372,323;410,299;479,287;424,69;438,136;425,192;399,193;382,136;362,86
00010_8bit.png;402,390;506,409;472,352;430,344;399,341;373,322;411,297;482,286;413,68;432,133;424,191;399,192;381,135;362,86
00011_8bit.png;403,389;509,406;473,350;431,343;399,340;373,321;412,296;483,283;412,64;430,131;424,190;399,191;378,135;360,85
00012_8bit.png;404,387;512,403;474,347;432,342;400,339;374,321;412,294;480,276;409,62;427,130;423,188;398,190;376,135;360,84
00013_8bit.png;405,386;515,400;474,346;433,341;401,339;374,321;412,293;479,271;403,63;423,129;423,188;397,189;375,134;361,82
00014_8bit.png;405,387;516,399;475,345;433,341;401,339;374,322;411,293;478,269;397,65;419,130;422,188;397,189;375,134;360,82
00015_8bit.png;406,387;517,398;475,344;434,341;401,339;375,322;411,294;479,270;395,66;418,130;421,188;396,190;373,134;359,83
00016_8bit.png;405,389;518,398;476,344;434,341;401,340;375,323;412,294;481,272;395,66;418,131;420,189;395,191;373,135;358,83
00017_8bit.png;405,390;519,398;477,344;434,342;401,341;375,323;412,295;480,273;395,67;419,131;420,189;395,191;373,136;359,82
00018_8bit.png;405,391;519,396;477,344;434,342;401,341;375,323;412,295;478,272;396,69;423,132;420,190;395,192;373,137;359,82
00019_8bit.png;405,391;521,394;478,343;434,341;401,341;375,324;412,295;477,270;398,73;430,133;419,190;394,193;372,137;358,82
00020_8bit.png;406,391;524,391;479,341;435,341;401,341;375,324;411,294;476,267;402,81;441,136;419,191;393,193;370,138;357,83
00021_8bit.png;406,391;527,386;481,338;437,340;402,341;375,323;411,293;475,265;412,99;459,146;421,192;393,194;369,138;355,83
00022_8bit.png;406,391;530,380;481,335;437,339;402,341;375,323;411,292;474,263;425,114;474,163;422,193;394,194;369,139;355,84
00023_8bit.png;406,392;532,374;482,332;438,339;402,341;375,323;409,292;472,261;440,124;483,180;424,194;395,194;371,138;355,83
00024_8bit.png;406,392;535,368;483,330;439,339;402,342;375,324;408,293;471,260;453,125;486,191;425,195;396,195;374,138;358,83
00025_8bit.png;406,393;533,369;483,329;440,339;403,343;376,326;409,294;471,260;468,123;489,194;426,197;398,196;379,138;361,83
00026_8bit.png;406,393;530,375;482,331;439,339;403,342;376,325;411,294;473,262;478,120;489,193;426,196;398,196;380,138;360,83
00027_8bit.png;407,393;528,378;481,333;439,340;403,342;377,324;413,293;476,264;490,114;489,189;427,196;399,195;381,137;360,84
00028_8bit.png;407,393;528,378;481,333;439,340;403,342;378,323;415,293;477,264;501,108;488,182;427,196;399,195;382,137;361,83
00029_8bit.png;406,394;530,374;480,331;439,340;403,342;378,323;415,293;477,264;504,99;486,174;428,195;401,194;385,136;363,84
00030_8bit.png;406,395;531,369;480,329;439,339;403,342;378,322;416,292;478,264;498,89;481,163;430,195;403,193;390,135;367,83
00031_8bit.png;405,396;530,366;479,328;439,339;403,342;379,322;417,291;480,264;483,82;471,152;431,194;405,192;395,133;372,83
00032_8bit.png;405,397;529,369;479,329;438,340;403,342;380,320;419,291;483,266;471,75;463,144;432,193;407,191;398,132;374,83
00033_8bit.png;405,397;527,373;478,332;437,340;403,342;380,320;420,290;484,267;459,69;458,139;432,192;408,191;398,131;375,83
00034_8bit.png;405,398;527,375;478,333;437,341;404,342;382,320;422,289;485,267;447,66;449,137;431,192;407,191;396,132;375,83
00035_8bit.png;405,399;530,373;479,333;438,341;404,343;382,320;422,289;486,266;438,66;444,136;430,192;406,192;393,133;374,83
00036_8bit.png;404,400;532,366;479,331;438,341;405,343;383,320;422,289;486,266;435,66;441,135;429,192;405,192;389,134;372,83
00037_8bit.png;404,400;534,360;478,329;438,341;404,344;382,321;420,288;484,266;431,67;439,136;428,192;404,192;388,135;372,84
00038_8bit.png;403,401;533,360;478,329;438,341;404,344;381,320;419,288;483,266;428,67;437,135;428,192;404,193;386,135;372,83
00039_8bit.png;402,401;531,364;477,330;437,341;403,344;380,320;419,288;483,268;426,67;436,135;428,192;404,192;385,135;371,84
00040_8bit.png;401,400;528,370;476,332;436,342;402,344;379,320;418,288;482,270;423,67;434,135;428,192;404,192;383,136;369,85
00041_8bit.png;400,400;525,374;475,332;435,342;401,343;379,319;417,288;481,271;422,67;433,135;428,192;404,192;382,136;368,85
00042_8bit.png;399,400;524,376;475,332;435,342;400,343;378,319;416,287;480,273;422,67;433,135;428,192;404,192;382,137;368,86
00043_8bit.png;399,400;522,377;475,332;434,342;400,343;377,319;415,287;480,273;422,68;434,135;428,193;404,192;382,137;368,87
00044_8bit.png;399,400;521,379;474,331;434,342;400,343;377,319;414,287;478,273;422,68;435,135;428,193;404,192;382,137;369,89
00045_8bit.png;399,401;521,381;474,332;434,342;400,343;376,320;413,288;477,274;422,68;434,136;427,193;403,193;382,138;369,89
00046_8bit.png;400,401;521,382;475,332;435,342;400,344;376,321;412,289;476,275;422,69;434,136;426,193;402,193;380,139;370,89
00047_8bit.png;401,403;520,383;475,333;435,342;401,344;376,323;411,291;476,278;422,69;433,136;425,193;400,194;378,140;370,89
00048_8bit.png;402,403;521,383;476,333;435,342;401,345;376,324;410,292;475,280;421,70;432,136;423,194;399,194;376,141;369,89
00049_8bit.png;403,404;521,382;475,332;435,342;401,345;375,325;408,293;474,283;420,70;431,136;422,194;397,194;373,142;367,90
00050_8bit.png;403,404;521,381;475,332;435,342;401,345;375,326;407,294;474,285;420,70;430,136;421,194;396,195;371,143;364,89
00051_8bit.png;404,404;521,380;475,332;435,342;401,345;374,326;405,293;473,287;419,71;429,136;420,194;395,195;369,144;362,89
00052_8bit.png;404,404;521,380;475,332;435,341;401,345;373,325;404,293;472,289;418,71;429,136;419,194;395,195;369,144;361,90
00053_8bit.png;404,404;520,380;475,332;434,341;400,344;373,325;402,292;471,290;418,70;428,136;419,194;395,195;369,144;362,90
